5000,50820,26070,30660,4565,5000,50820,26070,27740,4565,5000,48510,24885,26280,4357.5,5000,48510,24885,26280,4357.5,5000,43890,22515,26280,3735,4300,41580,21330,26280,3735,5000,46200,23700,26280,3942.5,4300,41580,21330,26280,3735,1500,41580,21330,26280,3735,5000,41580,21330,26280,3735,2200,41580,21330,26280,3735,1500,41580,21330,26280,3735,5000,41580,21330,26280,3735,1500,41580,21330,26280,3735,1500,41580,21330,26280,3735
8800,,,1050,,8800,,,950,,8800,,,900,,8800,,,900,,8800,,,900,,7568,,,900,,8800,,,900,,7568,,,900,,2640,,,900,,8800,,,900,,3872,,,900,,2640,,,900,,8800,,,900,,2640,,,900,,2640,,,900,
32000,,,,,32000,,,,,32000,,,,,32000,,,,,32000,,,,,27520,,,,,32000,,,,,27520,,,,,9600,,,,,32000,,,,,14080,,,,,9600,,,,,32000,,,,,9600,,,,,9600,,,,
37400,,,,,37400,,,,,37400,,,,,37400,,,,,37400,,,,,32164,,,,,37400,,,,,32164,,,,,11220,,,,,37400,,,,,16456,,,,,11220,,,,,37400,,,,,11220,,,,,11220,,,,
