27,75,40,0,0,1,9,7,300,2,1,0,,,,27,61,108,,27,61,108,,,,,,
61,169,90,1,0,2,20,16,675,5,2,0,,,,75,169,300,,75,169,300,,,,,,
108,300,160,2,1,3,36,28,1200,8,4,0,,,,40,90,160,,40,90,160,,,,20 BW,30 BW,40 BW
,,,,,,,,,,,,,,,0,1,2,,0,1,2,,,,,,
,,,,,,,,,,,,,,,0,0,1,,0,0,1,,,,100,225,400
,,,,,,,,,,,,,,,1,2,3,,1,2,3,,,,10,23,40
,,,,,,,,,,,,,,,9,20,36,,9,20,36,,,,1,2,3
,,,,,,,,,,,,,,,7,16,28,,7,16,28,,,,1,2,4
,,,,,,,,,,,,,,,300,675,1200,,300,675,1200,,,,27,61,108
,,,,,,,,,,,,,,,2,5,8,,2,5,8,,,,75,169,300
,,,,,,,,,,,,,,,1,2,4,,1,2,4,,,,40,90,160
,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,0,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,9,20,36
,,,,,,,,,,,,,,,,,,,,,,,,,7,16,28
,,,,,,,,,,,,,,,,,,,,,,,,,300,675,1200
,,,,,,,,,,,,,,,,,,,,,,,,,2,5,8
,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
