798,92,290,319,1045,715,2700,13500,1,385,550,10203,696,92,290,319,1045,683,2700,13500,1,365,550,10203,556,92,290,300,1045,650,2700,13500,1,335,483,10203
2096,,2270,2915,8745,6985,,,,2915,550,,1795,,2270,2915,8745,6668,,,,2764,550,,1379,,2270,2738,8745,6350,,,,2536,483,
,,4670,,,,,,,,,,,,4670,,,,,,,,,,,,4670,,,,,,,,,
