EDP Range,SLF Case 1,SLF Case 2,SLF Case 3,SLF Case 4,SLF Case 5,SLF Case 6,SLF Case 7,SLF Case 8,SLF Case 9,SLF Case 10,SLF Case 11,SLF Case 12,SLF Case 13,SLF Case 14,SLF Case 15
4,2108.878936,85193.02705,161748.0422,200947.1805,414335.6677,757426.6511,351984.3803,757418.7124,1101624.384,508848.6098,1000128.702,1668821.706,686673.2434,1270407.482,2288810.078
4.05,2108.878936,85196.24815,161751.525,200950.6887,414344.4999,757439.5432,351989.5841,757431.5225,1101624.384,508860.0734,1000171.027,1668910.593,686688.1801,1270478.265,2288931.264
4.1,2108.878936,85199.28491,161754.7706,200953.9594,414352.7827,757451.5814,351994.4338,757443.4855,1101624.384,508870.841,1000211.186,1668995.304,686702.1943,1270545.786,2289046.725
4.15,2108.878936,85202.1488,161757.7962,200957.0098,414360.553,757462.8262,351998.9552,757454.6612,1101624.384,508880.9584,1000249.303,1669076.059,686715.3477,1270610.218,2289156.765
4.2,2108.878936,85204.85054,161760.6176,200959.8556,414367.8451,757473.3334,352003.172,757465.1051,1101624.384,508890.4681,1000285.493,1669153.07,686727.6973,1270671.722,2289261.673
4.25,2108.878936,85207.40009,161763.2493,200962.5114,414374.6907,757483.1548,352007.1059,757474.8684,1101624.384,508899.4096,1000319.866,1669226.532,686739.2962,1270730.448,2289361.719
4.3,2108.878936,85209.80678,161765.7049,200964.9908,414381.1191,757492.3382,352010.7773,757483.9984,1101624.384,508907.8197,1000352.522,1669296.631,686750.1935,1270786.54,2289457.159
4.35,2108.878936,85212.07929,161767.9969,200967.3061,414387.1579,757500.9278,352014.2047,757492.5391,1101624.384,508915.7325,1000383.557,1669363.541,686760.435,1270840.132,2289548.232
4.4,2108.878936,85214.22575,161770.1367,200969.469,414392.8324,757508.9645,352017.4053,757500.5309,1101624.384,508923.1797,1000413.061,1669427.426,686770.0633,1270891.351,2289635.164
4.45,2108.878936,85216.25374,161772.1351,200971.49,414398.1663,757516.4863,352020.3952,757508.0116,1101624.384,508930.1911,1000441.117,1669488.441,686779.1179,1270940.315,2289718.167
4.5,2108.878936,85218.17034,161774.0019,200973.379,414403.1815,757523.5284,352023.1891,757515.0159,1101624.384,508936.794,1000467.804,1669546.731,686787.6355,1270987.137,2289797.442
4.55,2108.878936,85219.98219,161775.7463,200975.1453,414407.8985,757530.1234,352025.8007,757521.5763,1101624.384,508943.0143,1000493.196,1669602.433,686795.6506,1271031.924,2289873.176
4.6,2108.878936,85221.69548,161777.3768,200976.7972,414412.3364,757536.3014,352028.2425,757527.7227,1101624.384,508948.8758,1000517.363,1669655.678,686803.1948,1271074.776,2289945.55
4.65,2108.878936,85223.31602,161778.9012,200978.3426,414416.5129,757542.0906,352030.5262,757533.4829,1101624.384,508954.4008,1000540.37,1669706.587,686810.2981,1271115.787,2290014.729
4.7,2108.878936,85224.84925,161780.3269,200979.7887,414420.4445,757547.5171,352032.6628,757538.8828,1101624.384,508959.6102,1000562.28,1669755.276,686816.9881,1271155.047,2290080.873
4.75,2108.878936,85226.30024,161781.6604,200981.1424,414424.1466,757552.6049,352034.6623,757543.9463,1101624.384,508964.5233,1000583.149,1669801.854,686823.2905,1271192.641,2290144.132
4.8,2108.878936,85227.67377,161782.9083,200982.4099,414427.6337,757557.3765,352036.5341,757548.6958,1101624.384,508969.1584,1000603.034,1669846.423,686829.2296,1271228.648,2290204.647
4.85,2108.878936,85228.97431,161784.0761,200983.597,414430.919,757561.8529,352038.2867,757553.1519,1101624.384,508973.5323,1000621.984,1669889.082,686834.8278,1271263.144,2290262.552
4.9,2108.878936,85230.20604,161785.1694,200984.709,414434.0152,757566.0535,352039.9282,757557.3339,1101624.384,508977.6609,1000640.049,1669929.922,686840.1061,1271296.201,2290317.974
4.95,2108.878936,85231.3729,161786.1932,200985.7511,414436.9338,757569.9962,352041.466,757561.2597,1101624.384,508981.5589,1000657.274,1669969.031,686845.0842,1271327.887,2290371.031
5,2108.878936,85232.47857,161787.152,200986.7278,414439.6858,757573.698,352042.9072,757564.946,1101624.384,508985.2403,1000673.703,1670006.491,686849.7802,1271358.265,2290421.837
5.05,2108.878936,85233.52651,161788.0503,200987.6435,414442.2814,757577.1744,352044.2581,757568.4083,1101624.384,508988.718,1000689.376,1670042.38,686854.2113,1271387.396,2290470.498
5.1,2108.878936,85234.51997,161788.8921,200988.5023,414444.73,757580.44,352045.5247,757571.661,1101624.384,508992.004,1000704.331,1670076.771,686858.3936,1271415.339,2290517.118
5.15,2108.878936,85235.46201,161789.6811,200989.3078,414447.0406,757583.5083,352046.7125,757574.7177,1101624.384,508995.1097,1000718.605,1670109.736,686862.342,1271442.147,2290561.79
5.2,2108.878936,85236.35549,161790.4208,200990.0635,414449.2215,757586.392,352047.8269,757577.5907,1101624.384,508998.0458,1000732.232,1670141.34,686866.0705,1271467.873,2290604.607
5.25,2108.878936,85237.2031,161791.1144,200990.7728,414451.2804,757589.1029,352048.8724,757580.292,1101624.384,509000.8221,1000745.244,1670171.646,686869.5922,1271492.566,2290645.655
5.3,2108.878936,85238.00739,161791.765,200991.4386,414453.2247,757591.6519,352049.8538,757582.8322,1101624.384,509003.4481,1000757.671,1670200.714,686872.9194,1271516.272,2290685.015
5.35,2108.878936,85238.77073,161792.3753,200992.0636,414455.0612,757594.0493,352050.775,757585.2216,1101624.384,509005.9323,1000769.544,1670228.601,686876.0635,1271539.035,2290722.764
5.4,2108.878936,85239.49536,161792.948,200992.6507,414456.7963,757596.3046,352051.64,757587.4698,1101624.384,509008.2831,1000780.888,1670255.359,686879.0354,1271560.899,2290758.978
5.45,2108.878936,85240.18341,161793.4855,200993.2021,414458.4358,757598.4267,352052.4525,757589.5854,1101624.384,509010.5081,1000791.73,1670281.041,686881.845,1271581.902,2290793.724
5.5,2108.878936,85240.83684,161793.9901,200993.7202,414459.9855,757600.424,352053.2157,757591.5768,1101624.384,509012.6145,1000802.094,1670305.695,686884.502,1271602.084,2290827.07
5.55,2108.878936,85241.45753,161794.4639,200994.207,414461.4506,757602.3043,352053.9329,757593.4518,1101624.384,509014.6091,1000812.004,1670329.366,686887.015,1271621.479,2290859.079
5.6,2108.878936,85242.04725,161794.9088,200994.6647,414462.8361,757604.0747,352054.6069,757595.2174,1101624.384,509016.4982,1000821.48,1670352.099,686889.3925,1271640.122,2290889.81
5.65,2108.878936,85242.60765,161795.3268,200995.0949,414464.1464,757605.742,352055.2406,757596.8805,1101624.384,509018.2878,1000830.545,1670373.935,686891.6423,1271658.046,2290919.321
5.7,2108.878936,85243.1403,161795.7195,200995.4995,414465.3861,757607.3127,352055.8364,757598.4474,1101624.384,509019.9835,1000839.218,1670394.913,686893.7716,1271675.282,2290947.665
5.75,2108.878936,85243.64667,161796.0885,200995.8801,414466.559,757608.7926,352056.3967,757599.9238,1101624.384,509021.5905,1000847.516,1670415.071,686895.7873,1271691.86,2290974.893
5.8,2108.878936,85244.12815,161796.4353,200996.2381,414467.6692,757610.1872,352056.9238,757601.3155,1101624.384,509023.114,1000855.459,1670434.444,686897.696,1271707.807,2291001.055
5.85,2108.878936,85244.58606,161796.7614,200996.575,414468.72,757611.5019,352057.4197,757602.6274,1101624.384,509024.5583,1000863.062,1670453.067,686899.5036,1271723.151,2291026.197
5.9,2108.878936,85245.02162,161797.0679,200996.892,414469.715,757612.7413,352057.8864,757603.8645,1101624.384,509025.9281,1000870.342,1670470.973,686901.2158,1271737.917,2291050.363
5.95,2108.878936,85245.43602,161797.3563,200997.1904,414470.6572,757613.91,352058.3257,757605.0311,1101624.384,509027.2273,1000877.314,1670488.191,686902.8381,1271752.129,2291073.596
6,2108.878936,85245.83034,161797.6274,200997.4714,414471.5497,757615.0124,352058.7393,757606.1317,1101624.384,509028.4598,1000883.991,1670504.751,686904.3754,1271765.811,2291095.934
6.05,2108.878936,85246.20563,161797.8826,200997.736,414472.3952,757616.0523,352059.1288,757607.17,1101624.384,509029.6294,1000890.388,1670520.682,686905.8326,1271778.984,2291117.418
6.1,2108.878936,85246.56288,161798.1227,200997.9853,414473.1964,757617.0335,352059.4956,757608.1499,1101624.384,509030.7394,1000896.518,1670536.009,686907.2139,1271791.671,2291138.082
6.15,2108.878936,85246.90301,161798.3486,200998.2201,414473.9557,757617.9595,352059.8411,757609.0747,1101624.384,509031.7931,1000902.392,1670550.759,686908.5237,1271803.89,2291157.962
6.2,2108.878936,85247.2269,161798.5613,200998.4413,414474.6755,757618.8336,352060.1666,757609.9478,1101624.384,509032.7935,1000908.022,1670564.955,686909.7658,1271815.661,2291177.091
6.25,2108.878936,85247.53538,161798.7615,200998.6498,414475.3579,757619.6588,352060.4734,757610.7722,1101624.384,509033.7434,1000913.42,1670578.62,686910.9441,1271827.003,2291195.5
6.3,2108.878936,85247.82923,161798.9501,200998.8463,414476.005,757620.4381,352060.7626,757611.5508,1101624.384,509034.6457,1000918.595,1670591.777,686912.0619,1271837.933,2291213.219
6.35,2108.878936,85248.10919,161799.1277,200999.0316,414476.6187,757621.174,352061.0352,757612.2862,1101624.384,509035.5028,1000923.559,1670604.447,686913.1225,1271848.467,2291230.277
6.4,2108.878936,85248.37597,161799.295,200999.2063,414477.2009,757621.8692,352061.2923,757612.981,1101624.384,509036.3172,1000928.319,1670616.649,686914.1292,1271858.621,2291246.701
6.45,2108.878936,85248.63023,161799.4526,200999.371,414477.7533,757622.526,352061.5347,757613.6375,1101624.384,509037.0911,1000932.887,1670628.402,686915.0847,1271868.412,2291262.518
6.5,2108.878936,85248.87259,161799.6011,200999.5264,414478.2775,757623.1467,352061.7634,757614.258,1101624.384,509037.8267,1000937.268,1670639.726,686915.9919,1271877.853,2291277.751
6.55,2108.878936,85249.10365,161799.741,200999.673,414478.7751,757623.7333,352061.9792,757614.8445,1101624.384,509038.5259,1000941.474,1670650.636,686916.8534,1271886.957,2291292.426
6.6,2108.878936,85249.32398,161799.8729,200999.8114,414479.2474,757624.2878,352062.1827,757615.399,1101624.384,509039.1908,1000945.51,1670661.151,686917.6715,1271895.74,2291306.564
6.65,2108.878936,85249.53409,161799.9973,200999.942,414479.6958,757624.8121,352062.3749,757615.9233,1101624.384,509039.823,1000949.384,1670671.286,686918.4487,1271904.212,2291320.188
6.7,2108.878936,85249.73451,161800.1146,201000.0652,414480.1216,757625.3079,352062.5562,757616.4192,1101624.384,509040.4244,1000953.104,1670681.056,686919.187,1271912.387,2291333.317
6.75,2108.878936,85249.9257,161800.2252,201000.1816,414480.5261,757625.7767,352062.7274,757616.8882,1101624.384,509040.9964,1000956.676,1670690.475,686919.8886,1271920.276,2291345.972
6.8,2108.878936,85250.10812,161800.3295,201000.2914,414480.9102,757626.2203,352062.8891,757617.332,1101624.384,509041.5406,1000960.106,1670699.558,686920.5553,1271927.889,2291358.172
6.85,2108.878936,85250.2822,161800.4279,201000.3952,414481.2752,757626.6399,352063.0418,757617.7519,1101624.384,509042.0586,1000963.401,1670708.318,686921.189,1271935.239,2291369.935
6.9,2108.878936,85250.44834,161800.5207,201000.4932,414481.6221,757627.037,352063.186,757618.1493,1101624.384,509042.5515,1000966.566,1670716.768,686921.7915,1271942.334,2291381.278
6.95,2108.878936,85250.60693,161800.6083,201000.5858,414481.9517,757627.4128,352063.3222,757618.5254,1101624.384,509043.0207,1000969.608,1670724.919,686922.3644,1271949.185,2291392.218
7,2108.878936,85250.75833,161800.691,201000.6732,414482.265,757627.7685,352063.4509,757618.8815,1101624.384,509043.4674,1000972.53,1670732.784,686922.9092,1271955.801,2291402.77
7.05,2108.878936,85250.9029,161800.769,201000.7559,414482.5629,757628.1053,352063.5726,757619.2186,1101624.384,509043.8927,1000975.339,1670740.373,686923.4273,1271962.191,2291412.95
7.1,2108.878936,85251.04095,161800.8427,201000.834,414482.8461,757628.4241,352063.6876,757619.5379,1101624.384,509044.2978,1000978.039,1670747.697,686923.9202,1271968.363,2291422.772
7.15,2108.878936,85251.17281,161800.9123,201000.9078,414483.1155,757628.7261,352063.7963,757619.8403,1101624.384,509044.6836,1000980.635,1670754.767,686924.3892,1271974.326,2291432.25
7.2,2108.878936,85251.29876,161800.978,201000.9777,414483.3716,757629.0121,352063.899,757620.1268,1101624.384,509045.0511,1000983.13,1670761.591,686924.8354,1271980.088,2291441.397
