ITEM,ID,EDP,Component,Group,Quantity,Damage States,"DS1, Median Demand","DS2, Median Demand","DS3, Median Demand","DS4, Median Demand","DS5, Median Demand","DS1, Total Dispersion (Beta)","DS2, Total Dispersion (Beta)","DS3, Total Dispersion (Beta)","DS4, Total Dispersion (Beta)","DS5, Total Dispersion (Beta)","DS1, Repair COST","DS2, Repair COST","DS3, Repair COST","DS4, Repair COST","DS5, Repair COST","DS1, COST Dispersion (Beta)","DS2, COST Dispersion (Beta)","DS3, COST Dispersion (Beta)","DS4, COST Dispersion (Beta)","DS5, COST Dispersion (Beta)","DS1, best fit","DS2, best fit","DS3, best fit","DS4, best fit","DS5, best fit"
1,C1,PFA,NS,3,108,2,1.1,1.4,,,,0.4,0.4,,,,556,1379,,,,0.5762,0.3074,,,,,,,,
2,C2,PFA,NS,3,300,1,0.5,,,,,0.5,,,,,92,,,,,1.2841,,,,,,,,,
3,C3,PFA,NS,3,160,3,1.17,1.58,1.82,,,0.25,0.25,0.25,,,290,2270,4670,,,0.5508,0.5183,0.2026,,,,,,,
4,C4,PFA,NS,3,2,2,1.5,2.6,,,,0.4,0.4,,,,300,2738,,,,0.7637,0.4054,,,,,,,,
5,C5,PFA,NS,3,1,2,1.5,2.25,,,,0.4,0.4,,,,1045,8745,,,,0.256,0.0806,,,,,,,,
6,C6,PFA,NS,3,3,2,1.5,2.25,,,,0.4,0.4,,,,650,6350,,,,0.3674,0.1002,,,,,,,,
7,C7,PFA,NS,3,36,1,1.3,,,,,0.4,,,,,2700,,,,,0.2066,,,,,,,,,
8,C8,PFA,NS,3,28,1,1.9,,,,,0.4,,,,,13500,,,,,0.2942,,,,,,,,,
9,C9,PFA,NS,3,1200,1,0.6,,,,,0.4,,,,,1,,,,,0.6369,,,,,,,,,
10,C10,PFA,NS,3,8,2,1.1,2.4,,,,0.4,0.5,,,,335,2536,,,,0.6488,0.4054,,,,,,,,
11,C11,PFA,NS,3,4,2,0.75,0.95,,,,0.4,0.4,,,,483,483,,,,0.3665,0.3665,,,,,,,,
12,C12,PFA,NS,3,0,1,1.28,,,,,0.4,,,,,10203,,,,,0.1572,,,,,,,,,
